id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude
769101,Object_769101,0.0802703167,0.1794898848,13424.5510147979,44023800.833211645,Earth,False,22.6
2678807,Object_2678807,0.1608996045,0.3597824532,42382.3494098632,23603004.520074096,Earth,False,21.09
49457195,Object_49457195,0.0010105434,0.0022596438,34025.4005027401,47544010.9164198,Earth,False,32.1
16313339,Object_16313339,0.1401376972,0.3133574171,31231.7438041562,63245529.51271877,Earth,False,21.39
28929909,Object_28929909,0.0667659413,0.1492931834,12905.2270800093,38562726.05604617,Earth,False,23.0
27482921,Object_27482921,0.0255008688,0.0570216761,59958.7801235442,6777096.260307022,Earth,False,25.09
21932028,Object_21932028,0.0321036917,0.0717860371,77003.4544166315,71058126.61114816,Earth,False,24.59
32618498,Object_32618498,0.0350392641,0.0783501764,37396.7569650294,14410865.725474771,Earth,False,24.4
28227001,Object_28227001,0.04411182,0.0986370281,27464.7240421635,57532991.576888666,Earth,False,23.9
37005136,Object_37005136,0.0880146521,0.1968067451,41703.2692722475,18552033.48410159,Earth,False,22.4
3516103,Object_3516103,0.0073884779,0.0165211388,21475.5515407935,1454065.535646786,Earth,False,27.78
21499908,Object_21499908,0.0425162524,0.0950692305,38046.5248152888,17199120.642625485,Earth,False,23.98
43269918,Object_43269918,0.01034082,0.0231227764,75173.1221132626,54822768.3598293,Earth,False,27.05
29609697,Object_29609697,0.0149470324,0.0334225806,59639.8600000163,60554161.35687782,Earth,False,26.25
37277510,Object_37277510,0.0170041519,0.0380224396,53231.1703921206,1988531.616787523,Earth,False,25.97
3803721,Object_3803721,0.0766575574,0.1714115092,68031.9804185485,72912618.86553101,Earth,False,22.7
44436441,Object_44436441,0.1677084622,0.3750075218,66844.2888093974,71326416.47839125,Earth,False,21.0
22499156,Object_22499156,0.2538370294,0.5675968529,105837.5549906946,66275460.641562335,Earth,False,20.1
30706307,Object_30706307,0.0231502122,0.0517654482,33101.6749998327,6013585.188827941,Earth,False,25.3
25756973,Object_25756973,0.046190746,0.1032856481,56078.7126993288,6990469.033709065,Earth,False,23.8
38228937,Object_38228937,0.008405334,0.0187948982,60201.7947037508,55980733.5448434,Earth,False,27.5
