id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
26150198,Object_26150198,0.0319561887,0.0714562102,75374.7590947975,1070688.531033996,Earth,False,24.6,False
7025688,Object_7025688,0.1332155667,0.2978790628,33274.1147895555,15982165.905834684,Earth,False,21.5,False
43368461,Object_43368461,0.0435065831,0.0972836774,74702.3498015598,2330584.797855964,Earth,False,23.93,False
41099354,Object_41099354,0.0121494041,0.0271668934,33078.3139973874,45611781.44535272,Earth,False,26.7,False
25572576,Object_25572576,0.058150704,0.130028927,51956.0935181284,3613123.091256894,Earth,False,23.3,False
45045480,Object_45045480,0.0366906138,0.0820427065,65962.0545217535,9079833.99809418,Earth,False,24.3,False
5148398,Object_5148398,0.1010543415,0.2259643771,47268.1388022635,29090201.553706408,Earth,False,22.1,False
9320855,Object_9320855,0.1332155667,0.2978790628,95188.6483521707,49864968.38823128,Earth,False,21.5,True
40354244,Object_40354244,0.0880146521,0.1968067451,38849.5188094316,42966125.86576831,Earth,False,22.4,False
31835224,Object_31835224,0.1756123185,0.3926810818,65340.6595584804,74042532.43034884,Earth,False,20.9,False
28500455,Object_28500455,0.0530340723,0.1185877909,46035.3475559495,7737354.785262288,Earth,False,23.5,False
42648415,Object_42648415,0.0506471459,0.1132504611,28974.7119030243,4924654.648646784,Earth,False,23.6,False
37385157,Object_37385157,0.0483676488,0.1081533507,30463.9808675161,18256019.15224416,Earth,False,23.7,False
40678334,Object_40678334,0.1160259082,0.2594418179,70562.2756036792,32477015.545350883,Earth,False,21.8,True
18356264,Object_18356264,0.0291443905,0.0651688382,75024.1027140095,56053385.09217827,Earth,False,24.8,False
653950,Object_653950,0.0096506147,0.0215794305,28515.2290179063,428791.866148242,Earth,False,27.2,False
12323081,Object_12323081,0.0350392641,0.0783501764,29118.2392755385,3306476.554542609,Earth,False,24.4,False
34634308,Object_34634308,0.235806068,0.5272783976,64309.1377193734,59114227.59898037,Earth,False,20.26,False
10092306,Object_10092306,0.0080270317,0.0179489885,96274.8247272325,66318756.58390732,Earth,False,27.6,False
26446271,Object_26446271,0.0930154254,0.2079888141,18415.6545715592,9414297.316268384,Earth,False,22.28,False
48945661,Object_48945661,0.0483676488,0.1081533507,72485.0338117529,62135391.36513513,Earth,False,23.7,False
